"울산광역시","미상",13,6,7,6,5,1,26,9,17,14,7,7,13,6,7,2,0,2,1,1,0,0,0,0,0,0,0,0,0,0
"세종특별자치시","총계",1111,545,566,1344,691,653,2708,1418,1290,3297,1691,1606,3504,1744,1760,3703,1921,1782,3819,1924,1895,3468,1750,1718,3570,1790,1780,3209,1632,1577
"세종특별자치시","1아",505,251,254,642,327,315,1410,722,688,1738,900,838,1853,930,923,2037,1080,957,2083,1059,1024,1947,974,973,1957,985,972,1827,928,899
"세종특별자치시","2아",449,214,235,521,267,254,1003,529,474,1231,622,609,1325,649,676,1334,673,661,1421,701,720,1262,639,623,1321,649,672,1116,571,545
"세종특별자치시","3아 이상",157,80,77,180,97,83,271,148,123,322,166,156,317,160,157,331,167,164,315,164,151,259,137,122,292,156,136,265,132,133
"세종특별자치시","미상",0,0,0,1,0,1,24,19,5,6,3,3,9,5,4,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
"경기도","총계",112129,57574,54555,112169,57186,54983,113495,58062,55433,105643,54070,51573,94088,48531,45557,88175,45112,43063,83198,42737,40461,77737,39623,38114,76139,38857,37282,75323,38803,36520
"경기도","1아",57297,29367,27930,57496,29370,28126,58762,30149,28613,55111,28021,27090,48953,25266,23687,46032,23577,22455,44320,22865,21455,42595,21724,20871,42774,21842,20932,44069,22717,21352
"경기도","2아",43133,22081,21052,43292,22046,21246,43823,22270,21553,40058,20594,19464,35697,18352,17345,33822,17264,16558,31195,16031,15164,28254,14374,13880,27059,13744,13315,25502,13159,12343
"경기도","3아 이상",11525,6025,5500,11123,5647,5476,10658,5506,5152,10250,5327,4923,9182,4809,4373,8254,4256,3998,7641,3837,3804,6861,3525,3336,6286,3268,3018,5744,2923,2821
"경기도","미상",174,101,73,258,123,135,252,137,115,224,128,96,256,104,152,67,15,52,42,4,38,27,0,27,20,3,17,8,4,4
"강원도","총계",10980,5670,5310,10662,5444,5218,10929,5515,5414,10058,5143,4915,8958,4628,4330,8351,4216,4135,8283,4257,4026,7835,3957,3878,7357,3750,3607,7278,3723,3555
"강원도","1아",5359,2767,2592,5166,2629,2537,5422,2759,2663,5068,2604,2464,4633,2419,2214,4292,2180,2112,4300,2247,2053,4149,2108,2041,3779,1946,1833,3896,1963,1933
"강원도","2아",4176,2160,2016,4124,2102,2022,4162,2079,2083,3801,1928,1873,3278,1689,1589,3155,1602,1553,3070,1534,1536,2842,1410,1432,2799,1404,1395,2604,1347,1257
"강원도","3아 이상",1434,738,696,1352,701,651,1328,667,661,1169,603,566,1027,508,519,900,432,468,912,476,436,844,439,405,779,400,379,776,411,365
"강원도","미상",11,5,6,20,12,8,17,10,7,20,8,12,20,12,8,4,2,2,1,0,1,0,0,0,0,0,0,2,2,0
"충청북도","총계",13658,6950,6708,13366,6767,6599,13563,6887,6676,12742,6561,6181,11394,5830,5564,10586,5442,5144,9333,4838,4495,8607,4432,4175,8190,4134,4056,7452,3827,3625
"충청북도","1아",6728,3402,3326,6509,3276,3233,6617,3329,3288,6295,3264,3031,5592,2889,2703,5323,2702,2621,4637,2433,2204,4347,2215,2132,4285,2190,2095,4059,2075,1984
"충청북도","2아",5187,2626,2561,5108,2586,2522,5293,2720,2573,4876,2479,2397,4326,2217,2109,3963,2047,1916,3560,1853,1707,3243,1678,1565,2986,1488,1498,2619,1360,1259
