"행정구역별(시도)","연령별",2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022,2022
"행정구역별(시도)","연령별",총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자,총 가구원_계,총 가구원_남자,총 가구원_여자,내국인(출생)_계,내국인(출생)_남자,내국인(출생)_여자,내국인(귀화)_계,내국인(귀화)_남자,내국인(귀화)_여자,외국인(결혼이민자)_계,외국인(결혼이민자)_남자,외국인(결혼이민자)_여자,외국인(기타)_계,외국인(기타)_남자,외국인(기타)_여자
"면부","10~19세",10706,5472,5234,10142,5285,4857,252,99,153,117,X,117,195,88,107,12114,6244,5870,11604,6080,5524,280,108,172,119,X,119,111,56,55,14323,7368,6955,13776,7174,6602,294,122,172,111,X,111,142,72,70,16576,8496,8080,15837,8233,7604,322,133,189,148,X,148,269,130,139,18786,9671,9115,18106,9417,8689,354,141,213,95,X,95,231,113,118,20700,10744,9956,20051,10458,9593,398,168,230,15,X,15,236,118,118,22499,11691,10808,21713,11349,10364,475,211,264,14,X,14,297,131,166
"면부","20~29세",14074,2263,11811,2539,1479,1060,3238,176,3062,7497,100,7397,800,508,292,11985,1887,10098,2065,1176,889,2850,172,2678,6450,113,6337,620,426,194,10836,1937,8899,2505,1232,1273,2107,156,1951,5595,98,5497,629,451,178,10100,2022,8078,2383,1352,1031,2030,137,1893,5066,99,4967,621,434,187,9563,2250,7313,3078,1778,1300,1764,137,1627,4315,95,4220,406,240,166,8965,2473,6492,3394,2018,1376,1614,144,1470,3579,99,3480,378,212,166,8664,2767,5897,3871,2197,1674,1481,127,1354,2767,85,2682,545,358,187
"면부","30~39세",17918,5265,12653,5027,4195,832,6142,152,5990,6083,428,5655,666,490,176,18329,4702,13627,4377,3577,800,6935,177,6758,6347,472,5875,670,476,194,18583,4406,14177,4225,3243,982,7192,168,7024,6442,514,5928,724,481,243,19021,4255,14766,3946,3035,911,7694,179,7515,6699,582,6117,682,459,223,18905,3764,15141,3419,2597,822,7990,210,7780,6942,625,6317,554,332,222,18581,3493,15088,3082,2272,810,8089,235,7854,6917,681,6236,493,305,188,17922,3419,14503,2755,2008,747,8001,217,7784,6463,703,5760,703,491,212
"면부","40~49세",23739,16574,7165,16676,15684,992,3278,227,3051,3072,318,2754,713,345,368,23987,16525,7462,16721,15624,1097,3475,226,3249,3158,367,2791,633,308,325,22896,15334,7562,15557,14473,1084,3606,214,3392,3159,358,2801,574,289,285,22195,14464,7731,14737,13593,1144,3610,207,3403,3275,373,2902,573,291,282,21016,13070,7946,13325,12238,1087,3869,220,3649,3328,388,2940,494,224,270,20134,11720,8414,11966,10864,1102,4208,223,3985,3505,431,3074,455,202,253,19667,10636,9031,10720,9656,1064,4735,241,4494,3653,463,3190,559,276,283
"면부","50~59세",16314,11111,5203,11673,10233,1440,1559,214,1345,1926,204,1722,1156,460,696,17657,12374,5283,12754,11432,1322,1682,226,1456,2156,257,1899,1065,459,606,18941,13508,5433,13965,12639,1326,1802,233,1569,2337,276,2061,837,360,477,20339,14621,5718,15057,13717,1340,1842,221,1621,2642,314,2328,798,369,429,21361,15545,5816,16056,14765,1291,2055,231,1824,2544,292,2252,706,257,449,21995,15965,6030,16290,15118,1172,2437,288,2149,2573,306,2267,695,253,442,23220,16627,6593,16812,15636,1176,2927,329,2598,2703,343,2360,778,319,459
"면부","60세이상",21303,8306,12997,19540,7795,11745,708,181,527,438,127,311,617,203,414,22067,8783,13284,20127,8215,11912,807,184,623,504,150,354,629,234,395,22291,9037,13254,20202,8470,11732,917,197,720,602,175,427,570,195,375,22845,9507,13338,20660,8937,11723,866,160,706,729,197,532,590,213,377,22625,9682,12943,20244,9109,11135,980,183,797,787,211,576,614,179,435,22555,9988,12567,19904,9351,10553,1136,218,918,857,247,610,658,172,486,23295,10722,12573,20054,9954,10100,1462,287,1175,1060,289,771,719,192,527
"동부","계",718411,338654,379757,426425,261659,164766,127605,29395,98210,121903,25323,96580,42478,22277,20201,712745,336859,375886,416132,259137,156995,135343,31117,104226,122924,26885,96039,38346,19720,18626,748240,354242,393998,437666,271864,165802,141208,32726,108482,128091,28487,99604,41275,21165,20110,791579,375334,416245,463462,287454,176008,147925,33702,114223,133789,29895,103894,46403,24283,22120,815552,385361,430191,487798,300989,186809,158510,36350,122160,133446,30712,102734,35798,17310,18488,836235,393762,442473,497314,306079,191235,167622,38486,129136,134397,31497,102900,36902,17700,19202,865177,407649,457528,513834,315793,198041,177546,40678,136868,136852,33554,103298,36945,17624,19321
"동부","0~9세",132926,67936,64990,127115,65015,62100,3328,1629,1699,X,X,X,2483,1292,1191,134866,69018,65848,129530,66367,63163,3359,1621,1738,X,X,X,1977,1030,947,136661,69903,66758,130502,66812,63690,3673,1802,1871,X,X,X,2486,1289,1197,140202,71784,68418,133013,68181,64832,4034,1956,2078,X,X,X,3155,1647,1508,138805,70914,67891,131833,67437,64396,4844,2359,2485,X,X,X,2128,1118,1010,137283,70073,67210,129803,66412,63391,5292,2511,2781,X,X,X,2188,1150,1038,132516,67654,64862,125319,64116,61203,5317,2541,2776,X,X,X,1880,997,883
"동부","10~19세",54480,27232,27248,48460,24582,23878,3344,1535,1809,460,X,460,2216,1115,1101,56138,28119,28019,50777,25796,24981,3618,1660,1958,399,X,398,1344,662,682,66451,33382,33069,60178,30658,29520,4145,1912,2233,517,X,517,1611,812,799,79601,39840,39761,71477,36273,35204,4752,2193,2559,660,X,657,2712,1371,1341,90717,45580,45137,82476,41868,40608,5475,2523,2952,449,X,448,2317,1188,1129,100863,51016,49847,92049,46844,45205,6382,2982,3400,81,X,81,2351,1190,1161,112505,56727,55778,102460,51927,50533,7347,3510,3837,44,X,44,2654,1290,1364
"동부","20~29세",78412,21315,57097,24507,12427,12080,18015,3874,14141,29527,1516,28011,6363,3498,2865,62887,15070,47817,13727,7130,6597,16789,3576,13213,26976,1436,25540,5395,2928,2467,60705,15069,45636,15908,7764,8144,14331,3179,11152,25269,1371,23898,5197,2755,2442,59514,15315,44199,16074,8458,7616,14098,2793,11305,24298,1371,22927,5044,2693,2351,64930,18385,46545,23912,12192,11720,13087,2646,10441,23865,1398,22467,4066,2149,1917,64690,19585,45105,26947,13783,13164,12106,2485,9621,21694,1297,20397,3943,2020,1923,64622,21074,43548,31140,15522,15618,11299,2322,8977,18196,1143,17053,3987,2087,1900
